BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleStrain	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleComment
SAMN02650267				C-554		16-Jul-2012	Russia: The Republic of Dagestan	Homo sapiens		unknown		REMOVE: Not Yersinia pestis
SAMN02141506	SAMN00704257	PRJNA64397	SRS256171	PY-113		2010	Peru:La Libertad:Ascope	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02141503	SAMN00704254	PRJNA64391	SRS256168	PY-101		2010	Peru:La Libertad:Ascope, Santiago de Cao, Cartavio	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02141500	SAMN00706755	PRJNA64385	SRS256219	PY-98		2010	Peru:La Libertad:Ascope	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02141467	SAMN00704269	PRJNA64319	SRS256183	PY-32		2010	Peru:La Libertad:Ascope:Chicama, Chicama	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02141463	SAMN00704251	PRJNA64311	SRS256165	PY-16		2009	Peru:La Libertad:Ascope, Casa Grande, Toma Jauregui	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02141462	SAMN00704250	PRJNA64309	SRS256164	PY-15		2009	Peru:La Libertad:Ascope, Casa Grande, Toma Jauregui	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02141460	SAMN00704248	PRJNA64305	SRS256162	PY-13		2008	Peru:Cajamarca:Santa Cruz	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02141459	SAMN00704247	PRJNA64303	SRS256161	PY-12		2008	Peru:Cajamarca:Jean	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02141458	SAMN00704246	PRJNA64301	SRS256160	PY-11		2007	Peru:Cajamarca:Chota	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02141457	SAMN00704244	PRJNA64299	SRS256158	PY-10		2006	Peru:Cajamarca:Jean	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02141456	SAMN00704243	PRJNA64297	SRS256157	PY-09		2006	Peru:Cajamarca:Jean	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02141455	SAMN00704242	PRJNA64295	SRS256156	PY-08		2006	Peru:Cajamarca:Jean	Homo sapiens		missing		KEEP: Assembly Modern
SAMN02911891				RND81		09-Jul-2014	Russia					REMOVE: Not Yersinia pestis
SAMN02769799		PRJNA208248	SRS605683	790	Antiqua	1961-1976	Kyrgyzstan					KEEP: Assembly Modern
SAMN02678313			SRS567896	KIM1001		2011	USA					REMOVE: Lab manipulation
SAMN02678312			SRS567887	KIM1001		2011	USA					REMOVE: Lab manipulation
SAMN02678311			SRS567871	KIM1001		2011	USA					REMOVE: Lab manipulation
SAMN02614613		PRJNA237115		Niagara R		Aug-2007	USA: Upper Niagara River					REMOVE: Not Yersinia pestis
SAMN02598688		PRJNA234351		EV NIIEG		1941	Russia:Kirov Oblast:Kirov	Vaccine				KEEP: Assembly Modern
SAMN02403946		PRJNA169908		INS		2010	Peru:La Libertad:Ascope	Homo sapiens				KEEP: Assembly Modern
SAMN00222601			SRS178859	KIM D27								KEEP: EAGER Modern
SAMN01831187			SRS379554	AS200902147	Orientalis	2009	United States of America:New Mexico:Sante Fe	Cynomys gunnisoni				KEEP: Assembly Modern
SAMN01831186			SRS379553	BA200902009	Orientalis	2009	United States of America:New Mexico:Edgewood	Homo sapiens				KEEP: Assembly Modern
SAMN01831185			SRS379552	BA200901990	Orientalis	2009	United States of America:New Mexico:Edgewood	Homo sapiens				KEEP: Assembly Modern
SAMN01831184			SRS379551	BA200901799	Orientalis	2009	United States of America:New Mexico:Sante Fe	Homo sapiens				KEEP: Assembly Modern
SAMN01831183			SRS379550	BA200901703	Orientalis	2009	United States of America:New Mexico:Sante Fe	Homo sapiens				KEEP: Assembly Modern
SAMN01831182			SRS379549	AS200901539	Orientalis	2009	United States of America:Nevada:Las Vegas	Cynomys gunnisoni				KEEP: Assembly Modern
SAMN01831181			SRS379548	AS200901509	Orientalis	2009	United States of America:New Mexico:Santa Fe	Cynomys gunnisoni				KEEP: Assembly Modern
SAMN01831180			SRS379547	AS200901434	Orientalis	2009	United States of America:New Mexico:Santa Fe	Sylvilagus audobonii				KEEP: Assembly Modern
SAMN01831179			SRS379546	AS200901156	Orientalis	2009	United States of America:New Mexico:Sante Fe	Felis catus				KEEP: Assembly Modern
SAMN01818177			SRS376627	KIM D27								KEEP: EAGER Modern
SAMN00715802			SRS259947									REMOVE: Low Coverage Ancient
SAMN00715801			SRS259946									REMOVE: Low Coverage Ancient
SAMN00715800			SRS259945									KEEP: EAGER Ancient
SAMN00715799			SRS259944									KEEP: EAGER Ancient
SAMN02690739			SRS576855									KEEP: EAGER Modern
SAMN02690738			SRS576854									KEEP: EAGER Modern
SAMN02690737			SRS576853									KEEP: EAGER Modern
SAMN02690736			SRS576852									KEEP: EAGER Modern
SAMN02690735			SRS576851									KEEP: EAGER Modern
SAMN02690734			SRS576850									KEEP: EAGER Modern
SAMN02690733			SRS576849									KEEP: EAGER Modern
SAMN02690732			SRS576848									KEEP: EAGER Modern
SAMN02690731			SRS576847									KEEP: EAGER Modern
SAMN02690730			SRS576846									KEEP: EAGER Modern
SAMN02404406		PRJNA16429		FV-1	Orientalis	2001	United States of America:Arizona:Flagstaff	Cynomys gunnisoni				KEEP: Assembly Modern Morelli 2010
SAMN02403944		PRJNA30511		Pestoides A		1950-1984						KEEP: Assembly Modern Cui 2013
SAMN02403941		PRJNA30503		Nepal516	Antiqua	1967	Nepal:Gandaki Pradesh:Country centroid	Homo sapiens				KEEP: Assembly Modern Morelli 2010 Cui 2013
SAMN02403940		PRJNA18241		CA88-4125	Orientalis	1988	United States of America:California	Homo sapiens				KEEP: Assembly Modern Morelli 2010 Cui 2013
SAMN02403108	SAMN00115250	PRJNA47685	SRS116783	YN663	Orientalis	1982	China:Yunnan	Xenopsylla cneopis roths	24.33	24.33 97.96	97.96	KEEP: Assembly Modern Cui 2013
SAMN02403107	SAMN00115249	PRJNA47685	SRS116782	YN472	Orientalis	1957	China:Yunnan	Neopsyllini specialis	26.53	26.53 99.88	99.88	KEEP: Assembly Modern Cui 2013
SAMN02403106	SAMN00115248	PRJNA47685	SRS116781	YN2588	Orientalis	2000	China:Guangxi Zhuang	Rattus flavipectus	24.8	24.8 105.34	105.34	KEEP: Assembly Modern Cui 2013
SAMN02403105	SAMN00115247	PRJNA47685	SRS116780	YN2551	Orientalis	2002	China:Yunnan	Rattus flavipectus	23.35	23.35 102.42	102.42	KEEP: Assembly Modern Cui 2013
SAMN02403104	SAMN00115246	PRJNA47685	SRS116779	YN2179	Orientalis	1995	Myanmar	Rattus flavipectus				KEEP: Assembly Modern Cui 2013
SAMN02403103	SAMN00115245	PRJNA47685	SRS116778	YN1683	Orientalis	1977	China:Yunnan	Apodemus speciosus	26.53	26.53 99.88	99.88	KEEP: Assembly Modern Cui 2013
SAMN02403102	SAMN00115244	PRJNA47685	SRS116777	YN1065	Orientalis	1954	China:Yunnan	Stenischia humilis	26.53	26.53 99.88	99.88	KEEP: Assembly Modern Cui 2013
SAMN02403101	SAMN00115243	PRJNA47685	SRS116776	SHAN12	Medievalis	2006	China:Shaanxi	Meriones unguiculatus	37.6	37.6 107.59	107.59	KEEP: Assembly Modern Cui 2013
SAMN02403100	SAMN00115242	PRJNA47685	SRS116775	SHAN11	Medievalis	2006	China:Shaanxi	Nosopsyllu laeviceps kuzenkovi	37.6	37.6 107.59	107.59	KEEP: Assembly Modern Cui 2013
SAMN02403099	SAMN00115241	PRJNA47685	SRS116774	MGJZ9	Antiqua	1998	Mongolia:Govi-Altai	Orip silantiwii	45.3	45.3 95.3	95.3	KEEP: Assembly Modern Cui 2013
SAMN02403098	SAMN00115240	PRJNA47685	SRS116773	MGJZ7	Antiqua	1997	Mongolia:Dornogovi	Meriones meridianus	43.7	43.7 110.28	110.28	KEEP: Assembly Modern Cui 2013
SAMN02403097	SAMN00115239	PRJNA47685	SRS116772	MGJZ6	Antiqua	1997	Mongolia:Dornogovi	Meriones meridianus	43.7	43.7 110.28	110.28	KEEP: Assembly Modern Cui 2013
SAMN02403096	SAMN00115238	PRJNA47685	SRS116771	MGJZ3	Antiqua	1980	Mongolia:Govi-Altai	Marmota sibirica	45.3	45.3 95.3	95.3	KEEP: Assembly Modern Cui 2013
SAMN02403095	SAMN00115237	PRJNA47685	SRS116770	MGJZ12	Antiqua	2002	Mongolia:Bayan-Olgii	Marmota sibirica	48.18	48.18 89.5	89.5	KEEP: Assembly Modern Cui 2013
SAMN02403094	SAMN00115236	PRJNA47685	SRS116769	MGJZ11	Antiqua	2000	Mongolia:Bayan-Olgii	Marmota sibirica	48.18	48.18 89.5	89.5	KEEP: Assembly Modern Cui 2013
SAMN02403093		PRJNA47685		M0000002	Microtus	2001	China:Qinghai	Microtus fuscus	33.35	33.35 97.12	97.12	KEEP: Assembly Modern Cui 2013
SAMN02403092	SAMN00115202	PRJNA47685	SRS116735	K21985002	Antiqua	1985	China:Xinjiang	Marmota himalayana	39	39 88.1	88.1	KEEP: Assembly Modern Cui 2013
SAMN02403091	SAMN00115203	PRJNA47685	SRS116736	K1973002	Medievalis	1973	China:Xinjiang	Marmota himalayana	37.12	37.12 79.94	79.94	KEEP: Assembly Modern Cui 2013
SAMN02403090	SAMN00115187	PRJNA47685	SRS116720	J1978002	Medievalis	1978	China:Ningxia	Spermophilus alaschanicus	36.56	36.56 105.64	105.64	KEEP: Assembly Modern Cui 2013
SAMN02403089	SAMN00115211	PRJNA47685	SRS116744	J1963002	Medievalis	1963	China:Gansu	Citellophilus tesquorum sungaris	35.72	35.72 105.08	105.08	KEEP: Assembly Modern Cui 2013
SAMN02403088	SAMN00115191	PRJNA47685	SRS116724	I2001001	Medievalis	2001	China:Shaanxi	Meriones unguiculatus	37.6	37.6 107.59	107.59	KEEP: Assembly Modern Cui 2013
SAMN02403087	SAMN00115185	PRJNA47685	SRS116718	I1994006	Medievalis	1994	China:Hebei	Citellophilus tesquorum sungaris	41.87	41.87 114.6	114.6	KEEP: Assembly Modern Cui 2013
SAMN02403086	SAMN00115134	PRJNA47685	SRS116667	I1991001	Medievalis	1991	China:Inner Mongolia	Meriones unguiculatus	41.55	41.55 108.52	108.52	KEEP: Assembly Modern Cui 2013
SAMN02403085	SAMN00115227	PRJNA47685	SRS116760	I1970005	Medievalis	1970	China:Inner Mongolia	Meriones unguiculatus	39.12	39.12 107.97	107.97	KEEP: Assembly Modern Cui 2013
SAMN02403084	SAMN00115189	PRJNA47685	SRS116722	I1969003	Medievalis	1969	China:Ningxia	Meriones unguiculatus	38.1	38.1 106.34	106.34	KEEP: Assembly Modern Cui 2013
SAMN02403083	SAMN00115235	PRJNA47685	SRS116768	I160001	Medievalis	1987	China:Xinjiang	Marmota himalayana	38.09	38.09 85.32	85.32	KEEP: Assembly Modern Cui 2013
SAMN02403082	SAMN00115155	PRJNA47685	SRS116688	H1959004	Antiqua	1959	China:Jilin	Rattus norvegicus	45.2	45.2 124.82	124.82	KEEP: Assembly Modern Cui 2013
SAMN02403081	SAMN00115206	PRJNA47685	SRS116739	H1958004	Medievalis	1958	China:Jilin	Spermophilus dauricus	43.87	43.87 126.57	126.57	KEEP: Assembly Modern Cui 2013
SAMN02403080	SAMN00115234	PRJNA47685	SRS116767	G8786	Caucasica	1950-2000	Georgia:Samtskhe-Javakheti:Ninotsminda	Microtus arvalis				KEEP: Assembly Modern Modern Cui 2013
SAMN02403079	SAMN00115148	PRJNA47685	SRS116681	G1996010	Antiqua	1996	China:Tibet	Pseudois nayaur	28.46	28.46 92.42	92.42	KEEP: Assembly Modern Cui 2013
SAMN02403078	SAMN00115149	PRJNA47685	SRS116682	G1996006	Antiqua	1996	China:Tibet	Homo sapiens	27.98	27.98 91.91	91.91	KEEP: Assembly Modern Cui 2013
SAMN02403077	SAMN00115212	PRJNA47685	SRS116745	F1984001	Orientalis	1984	China:Yunnan	Rattus flavipectus	24.69	24.69 97.93	97.93	KEEP: Assembly Modern Cui 2013
SAMN02403076	SAMN00115166	PRJNA47685	SRS116699	F1954001	Antiqua	1954	China:Yunnan	Rattus flavipectus	25.48	25.48 100.56	100.56	KEEP: Assembly Modern Cui 2013
SAMN02403075	SAMN00115182	PRJNA47685	SRS116715	F1946001	Orientalis	1946	China:Fujian	Homo sapiens	26.58	26.58 118.75	118.75	KEEP: Assembly Modern Cui 2013
SAMN02403073	SAMN00115214	PRJNA47685	SRS116747	E1977001	Antiqua	1977	China:Yunnan	Ctenophthalmus quadratus	26.53	26.53 99.88	99.88	KEEP: Assembly Modern Cui 2013
SAMN02403072	SAMN00115170	PRJNA47685	SRS116703	D1991004	Antiqua	1991	China:Qinghai	Marmota himalayana	35.03	35.03 101.5	101.5	KEEP: Assembly Modern Cui 2013
SAMN02403071	SAMN00115163	PRJNA47685	SRS116696	D1982001	Antiqua	1982	China:Gansu	Homo sapiens	38.86	38.86 99.57	99.57	KEEP: Assembly Modern Cui 2013
SAMN02403070	SAMN00115186	PRJNA47685	SRS116719	D1964002	Antiqua	1964	China:Qinghai	Canis faliaris	37.37	37.37 101.62	101.62	KEEP: Assembly Modern Cui 2013
SAMN02403069	SAMN00115158	PRJNA47685	SRS116691	D1964001	Antiqua	1964	China:Qinghai	Marmota himalayana	37.37	37.37 101.62	101.62	KEEP: Assembly Modern Cui 2013
SAMN02403068	SAMN00115231	PRJNA47685	SRS116764	CMCCN010025	Microtus	2000	China:Sichuan Province	Microtus fuscus	33.01	33.01 98.06	98.06	KEEP: Assembly Modern Cui 2013
SAMN02403067	SAMN00115230	PRJNA47685	SRS116763	CMCCK110001	Orientalis	1991	China:Yunnan	Rattus flavipectus	23.92	23.92 99.02	99.02	KEEP: Assembly Modern Cui 2013
SAMN02403066	SAMN00115229	PRJNA47685	SRS116762	CMCCK100001	Orientalis	1991	China:Yunnan	Rattus flavipectus	24.08	24.08 98.08	98.08	KEEP: Assembly Modern Cui 2013
SAMN02403065	SAMN00115228	PRJNA47685	SRS116761	CMCC99103	Medievalis	1970	China:Inner Mongolia	Meriones unguiculatus	39.12	39.12 107.97	107.97	KEEP: Assembly Modern Cui 2013
SAMN02403064	SAMN00115226	PRJNA47685	SRS116759	CMCC96007	Antiqua	1989	China:Inner Mongolia	Meles meles	42.25	42.25 116.02	116.02	KEEP: Assembly Modern Cui 2013
SAMN02403063	SAMN00115225	PRJNA47685	SRS116758	CMCC96001	Antiqua	1957	China:Inner Mongolia	Vulpes vulpes	42.25	42.25 116.02	116.02	KEEP: Assembly Modern Cui 2013
SAMN02403062	SAMN00115224	PRJNA47685	SRS116757	CMCC95001	Antiqua	1970	China:Inner Mongolia	Spermophilus dauricus	42.32	42.32 115	115	KEEP: Assembly Modern Cui 2013
SAMN02403061	SAMN00115223	PRJNA47685	SRS116756	CMCC93014	Microtus	1970	China:Inner Mongolia	Microtus brandti	43.95	43.95 116.08	116.08	KEEP: Assembly Modern Cui 2013
SAMN02403060	SAMN00115222	PRJNA47685	SRS116755	CMCC92010	Antiqua	1971	China:Inner Mongolia	Spermophilus dauricus	42.47	42.47 112.95	112.95	KEEP: Assembly Modern Cui 2013
SAMN02403059	SAMN00115221	PRJNA47685	SRS116754	CMCC92004	Medievalis	1957	China:Inner Mongolia	Ophthalmopsylla kiritschenkoi	42.47	42.47 112.95	112.95	KEEP: Assembly Modern Cui 2013
SAMN02403058	SAMN00115220	PRJNA47685	SRS116753	CMCC91090	Microtus	1970	China:Inner Mongolia	Microtus brandti	44.03	44.03 114.97	114.97	KEEP: Assembly Modern Cui 2013
SAMN02403057	SAMN00115219	PRJNA47685	SRS116752	CMCC90027	Medievalis	1970	China:Inner Mongolia	Meriones unguiculatus	43.85	43.85 113.7	113.7	KEEP: Assembly Modern Cui 2013
SAMN02403056	SAMN00115218	PRJNA47685	SRS116751	CMCC87001	Orientalis	1982	China:Yunnan	Rattus flavipectus	24	24 97.83	97.83	KEEP: Assembly Modern Cui 2013
SAMN02403055	SAMN00115217	PRJNA47685	SRS116750	CMCC84046	Antiqua	1984	China:Yunnan	Eothenomys miletus	26.53	26.53 99.88	99.88	KEEP: Assembly Modern Cui 2013
SAMN02403054	SAMN00115216	PRJNA47685	SRS116749	CMCC84038	Antiqua	1982	China:Yunnan	Apodemus chevrieri	26.53	26.53 99.88	99.88	KEEP: Assembly Modern Cui 2013
SAMN02403053	SAMN00115215	PRJNA47685	SRS116748	CMCC84033	Antiqua	1979	China:Yunnan	Eothenomys miletus	26.53	26.53 99.88	99.88	KEEP: Assembly Modern Cui 2013
SAMN02403052	SAMN00115213	PRJNA47685	SRS116746	CMCC8211	Antiqua	1982	China:Xinjiang	Citellophilus tesquorum	44.67	44.67 82.92	82.92	KEEP: Assembly Modern Cui 2013
SAMN02403051	SAMN00115210	PRJNA47685	SRS116743	CMCC71001	Antiqua	1961	China:Gansu	Marmota himalayana	38.46	38.46 94.25	94.25	KEEP: Assembly Modern Cui 2013
SAMN02403050	SAMN00115209	PRJNA47685	SRS116742	CMCC67001	Antiqua	1959	China:Inner Mongolia	Homo sapiens	42.97	42.97 122.35	122.35	KEEP: Assembly Modern Cui 2013
SAMN02403049	SAMN00115208	PRJNA47685	SRS116741	CMCC640047	Antiqua	1964	China:Qinghai	Homo sapiens	36.27	36.27 100.61	100.61	KEEP: Assembly Modern Cui 2013
SAMN02403048	SAMN00115207	PRJNA47685	SRS116740	CMCC64001	Antiqua	1957	China:Inner Mongolia	Rhipicephalus sanguineus	45.05	45.05 121.47	121.47	KEEP: Assembly Modern Cui 2013
SAMN02403047	SAMN00115205	PRJNA47685	SRS116738	CMCC51020	Antiqua	1954	China:Jilin	Rattus norvegicus	44.3	44.3 123.97	123.97	KEEP: Assembly Modern Cui 2013
SAMN02403046	SAMN00115204	PRJNA47685	SRS116737	CMCC49003	Antiqua	1976	China:Xinjiang	Citellus undulatus	43.82	43.82 82.53	82.53	KEEP: Assembly Modern Cui 2013
SAMN02403045	SAMN00115201	PRJNA47685	SRS116734	CMCC43032	Antiqua	1980	China:Xinjiang	Oropsylla silantiewi	44.18	44.18 86.92	86.92	KEEP: Assembly Modern Cui 2013
SAMN02403044	SAMN00115200	PRJNA47685	SRS116733	CMCC42007	Antiqua	1967	China:Xinjiang	Marmota baibacina	44.45	44.45 84.62	84.62	KEEP: Assembly Modern Cui 2013
SAMN02403043	SAMN00115198	PRJNA47685	SRS116731	CMCC38001	Antiqua	1979	China:Xinjiang	Marmota baibacina	39.73	39.73 76.12	76.12	KEEP: Assembly Modern Cui 2013
SAMN02403042	SAMN00115197	PRJNA47685	SRS116730	CMCC348002	Antiqua	1998	China:Tibet	Marmota himalayana	29.71	29.71 89.02	89.02	KEEP: Assembly Modern Cui 2013
SAMN02403041	SAMN00115196	PRJNA47685	SRS116729	CMCC347001	Antiqua	1996	China:Tibet	Marmota himalayana	30.2	30.2 91.24	91.24	KEEP: Assembly Modern Cui 2013
SAMN02403040	SAMN00115195	PRJNA47685	SRS116728	CMCC31004	Antiqua	1990	China:Tibet	Marmota himalayana	32.29	32.29 91.68	91.68	KEEP: Assembly Modern Cui 2013
SAMN02403039	SAMN00115194	PRJNA47685	SRS116727	CMCC27002	Antiqua	1991	China:Qinghai	Marmota himalayana	35.24	35.24 100.63	100.63	KEEP: Assembly Modern Cui 2013
SAMN02403038	SAMN00115193	PRJNA47685	SRS116726	CMCC21106	Antiqua	2001	China:Xinjiang	Marmota baibacina	39.7	39.7 75.18	75.18	KEEP: Assembly Modern Cui 2013
SAMN02403037	SAMN00115192	PRJNA47685	SRS116725	CMCC18019	Microtus	2001	China:Qinghai	Microtus fuscus	33.35	33.35 97.12	97.12	KEEP: Assembly Modern Cui 2013
SAMN02403036	SAMN00115188	PRJNA47685	SRS116721	CMCC125002	Medievalis	1964	China:Ningxia	Spermophilus alaschanicus	35.97	35.97 105.7	105.7	KEEP: Assembly Modern Cui 2013
SAMN02403035	SAMN00115184	PRJNA47685	SRS116717	CMCC12003	Medievalis	1961	China:Qinghai	Marmota himalayana	37.37	37.37 101.62	101.62	KEEP: Assembly Modern Cui 2013
SAMN02403034	SAMN00115183	PRJNA47685	SRS116716	CMCC114001	Orientalis	1952	China:Fujian	Mus musculus	25.44	25.44 119	119	KEEP: Assembly Modern Cui 2013
SAMN02403033	SAMN00115181	PRJNA47685	SRS116714	CMCC11001	Antiqua	1954	China:Qinghai	Marmota himalayana	35.57	35.57 100.75	100.75	KEEP: Assembly Modern Cui 2013
SAMN02403032	SAMN00115180	PRJNA47685	SRS116713	CMCC107004	Medievalis	2003	China:Inner Mongolia	Citellophilus tesquorum mongolicus	41.9	41.9 114	114	KEEP: Assembly Modern Cui 2013
SAMN02403031	SAMN00115179	PRJNA47685	SRS116712	CMCC106002	Antiqua	1996	China:Inner Mongolia	Citellophilus tesquorum	44.55	44.55 120.87	120.87	KEEP: Assembly Modern Cui 2013
SAMN02403030	SAMN00115178	PRJNA47685	SRS116711	CMCC104003	Antiqua	1989	China:Inner Mongolia	Spermophilus dauricus	43.97	43.97 120.05	120.05	KEEP: Assembly Modern Cui 2013
SAMN02403029	SAMN00115177	PRJNA47685	SRS116710	CMCC10012	Antiqua	1964	China:Qinghai	Ixodex crenulatus	36.89	36.89 100.99	100.99	KEEP: Assembly Modern Cui 2013
SAMN02403028	SAMN00115176	PRJNA47685	SRS116709	CMCC05013	Antiqua	1988	China:Qinghai	Linognathoides palaearctus	35.6	35.6 99.99	99.99	KEEP: Assembly Modern Cui 2013
SAMN02403027	SAMN00115175	PRJNA47685	SRS116708	CMCC05009	Antiqua	1961	China:Qinghai	Allactaga sibirica	35.6	35.6 99.99	99.99	KEEP: Assembly Modern Cui 2013
SAMN02403026	SAMN00115174	PRJNA47685	SRS116707	CMCC03001	Antiqua	1954	China:Qinghai	Ochotona daurica	34.75	34.75 101.62	101.62	KEEP: Assembly Modern Cui 2013
SAMN02403025	SAMN00115173	PRJNA47685	SRS116706	CMCC02041	Antiqua	1965	China:Qinghai	Mustela eversmanni	38.2	38.2 100.22	100.22	KEEP: Assembly Modern Cui 2013
SAMN02403024	SAMN00115167	PRJNA47685	SRS116700	C1989001	Antiqua	1989	China:Qinghai	Homo sapiens	32.92	32.92 95.3	95.3	KEEP: Assembly Modern Cui 2013
SAMN02403023	SAMN00115159	PRJNA47685	SRS116692	C1976001	Antiqua	1976	China:Gansu	Marmota himalayana	38.46	38.46 94.25	94.25	KEEP: Assembly Modern Cui 2013
SAMN02403022	SAMN00115190	PRJNA47685	SRS116723	C1975003	Antiqua	1975	China:Qinghai	Ovis aries	33.03	33.03 96.97	96.97	KEEP: Assembly Modern Cui 2013
SAMN02403020	SAMN00115150	PRJNA47685	SRS116683	A1973001	Medievalis	1973	China:Xinjiang	Marmota caudata	39.7	39.7 75.18	75.18	KEEP: Assembly Modern Cui 2013
SAMN02403019	SAMN00115199	PRJNA47685	SRS116732	A1956001	Antiqua	1956	China:Xinjiang	Marmota caudata	39.7	39.7 75.18	75.18	KEEP: Assembly Modern Cui 2013
SAMN02403018	SAMN00115172	PRJNA47685	SRS116705	970754	Antiqua	1997	China:Qinghai	Ovis aries	32.23	32.23 96.47	96.47	KEEP: Assembly Modern Cui 2013
SAMN02403017	SAMN00115171	PRJNA47685	SRS116704	945	Antiqua	1994	China:Xinjiang	Human flea	44.29	44.29 85.56	85.56	KEEP: Assembly Modern Cui 2013
SAMN02403016	SAMN00115169	PRJNA47685	SRS116702	91	Medievalis	1987	China:Xinjiang	Oropsylla silantiewi	38.09	38.09 85.32	85.32	KEEP: Assembly Modern Cui 2013
SAMN02403015	SAMN00115168	PRJNA47685	SRS116701	9	Antiqua	2004	China:Qinghai	Homo sapiens	33.35	33.35 97.12	97.12	KEEP: Assembly Modern Cui 2013
SAMN02403014	SAMN00115165	PRJNA47685	SRS116698	780441	Antiqua	1978	China:Qinghai	Marmota himalayana	34.92	34.92 98.26	98.26	KEEP: Assembly Modern Cui 2013
SAMN02403013	SAMN00115144	PRJNA47685	SRS116677	735	Antiqua	1965	Russia:St. Petersberg	Rattus norvegicus				KEEP: Assembly Modern Cui 2013
SAMN02403012	SAMN00115162	PRJNA47685	SRS116695	7338	Medievalis	1973	China:Xinjiang	Marmota himalayana	37.12	37.12 79.94	79.94	KEEP: Assembly Modern Cui 2013
SAMN02403011	SAMN00115161	PRJNA47685	SRS116694	710317	Antiqua	1971	China:Qinghai	Homo sapiens	36.72	36.72 101.28	101.28	KEEP: Assembly Modern Cui 2013
SAMN02403010	SAMN00115160	PRJNA47685	SRS116693	71021	Antiqua	1989	China:Gansu	Oropsylla silantiewi	38.46	38.46 94.25	94.25	KEEP: Assembly Modern Cui 2013
SAMN02403009	SAMN00115164	PRJNA47685	SRS116697	7	Antiqua	2004	China:Qinghai	Homo sapiens	36.9	36.9 98.46	98.46	KEEP: Assembly Modern Cui 2013
SAMN02403008	SAMN00115157	PRJNA47685	SRS116690	620024	Antiqua	1962	China:Qinghai	Homo sapiens	35.6	35.6 99.99	99.99	KEEP: Assembly Modern Cui 2013
SAMN02403007	SAMN00115136	PRJNA47685	SRS116669	5761	Antiqua	1956	Russia:St. Petersberg	Rattus norvegicus				KEEP: Assembly Modern Cui 2013
SAMN02403006	SAMN00115156	PRJNA47685	SRS116689	5	Antiqua	2004	China:Qinghai	Homo sapiens	36.9	36.9 98.46	98.46	KEEP: Assembly Modern Cui 2013
SAMN02403005	SAMN00115154	PRJNA47685	SRS116687	42095	Antiqua	2001	China:Xinjiang	Citellus undulatus	44.45	44.45 84.62	84.62	KEEP: Assembly Modern Cui 2013
SAMN02403004	SAMN00115153	PRJNA47685	SRS116686	42091	Antiqua	1999	China:Xinjiang	Citellus undulatus	44.45	44.45 84.62	84.62	KEEP: Assembly Modern Cui 2013
SAMN02403003	SAMN00115152	PRJNA47685	SRS116685	42082	Antiqua	1995	China:Xinjiang	Citellus undulatus	44.45	44.45 84.62	84.62	KEEP: Assembly Modern Cui 2013
SAMN02403002	SAMN00115151	PRJNA47685	SRS116684	42013	Antiqua	1971	China:Xinjiang	Citellus undulatus	44.45	44.45 84.62	84.62	KEEP: Assembly Modern Cui 2013
SAMN02403001	SAMN00115147	PRJNA47685	SRS116680	351001	Antiqua	1996	China:Tibet	Marmota himalayana	29.39	29.39 90.7	90.7	KEEP: Assembly Modern Cui 2013
SAMN02403000	SAMN00115146	PRJNA47685	SRS116679	34202	Antiqua	1990	China:Tibet	Marmota himalayana	30.37	30.37 81.18	81.18	KEEP: Assembly Modern Cui 2013
SAMN02402999	SAMN00115145	PRJNA47685	SRS116678	34008	Antiqua	1968	China:Tibet	Marmota himalayana	29.66	29.66 84.15	84.15	KEEP: Assembly Modern Cui 2013
SAMN02402998	SAMN00115143	PRJNA47685	SRS116676	30017	Antiqua	1976	China:Tibet	Marmota himalayana	31.47	31.47 92.1	92.1	KEEP: Assembly Modern Cui 2013
SAMN02402997	SAMN00115142	PRJNA47685	SRS116675	2654	Medievalis	2006	China:Xinjiang	Rhombomys opimus	44.02	44.02 88.11	88.11	KEEP: Assembly Modern Cui 2013
SAMN02402996	SAMN00115141	PRJNA47685	SRS116674	2506	Medievalis	2005	China:Xinjiang	Rhombomys opimus	44.02	44.02 88.11	88.11	KEEP: Assembly Modern Cui 2013
SAMN02402995	SAMN00115140	PRJNA47685	SRS116673	2504	Medievalis	2005	China:Xinjiang	Rhombomys opimus	44.02	44.02 88.11	88.11	KEEP: Assembly Modern Cui 2013
SAMN02402994	SAMN00115139	PRJNA47685	SRS116672	2330	Antiqua	2003	China:Xinjiang	Marmota baibacina	44.95	44.95 81.08	81.08	KEEP: Assembly Modern Cui 2013
