BioSampleAccession	AssemblyFTPGenbank	SRARunAccession	BioSampleStrain	BioSampleCollectionDate	BioSampleHost	BioSampleGeographicLocation	BioSampleBiovar	PubmedArticleTitle	PubmedAuthorsLastName	AssemblyContigCount	AssemblyTotalLength	NucleotideGenes	NucleotideGenesTotal	NucleotidePseudoGenes	NucleotidePseudoGenesTotal	NucleotiderRNAs	AssemblySubmissionDate	SRARunPublishDate	BioSampleComment
SAMN03218157	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/925/GCA_000834925.1_ASM83492v1	SRR2177701	Pestoides B	Unknown	?	USSR	PE1	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	4	4794427	?	?	?	?	?	2015/02/09 00:00	2015-08-26 12:07:39	?
SAMN03174669	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/825/GCA_000834825.1_ASM83482v1	SRR2176136;SRR2176135;SRR2176134	Antiqua	1965	?	Republic of the Congo	?	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	4	4884396	?	?	?	?	?	2015/02/09 00:00	2017-10-17 01:51:03;2015-08-25 11:01:43;2015-08-25 11:26:16	?
SAMN03074123	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/755/GCA_000834755.1_ASM83475v1	SRR2176138;SRR2176137	A1122	1939	?	USA: California	Orientalis	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	3	4674565	?	?	?	?	?	2015/02/09 00:00	2015-08-25 11:01:37;2015-08-25 11:13:00	?
SAMN03216587	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/905/GCA_000834905.1_ASM83490v1	SRR2175557;SRR2175556;SRR2175555	Java9	unknown	?	Indonesia	?	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	5	4830559	?	?	?	?	?	2015/02/09 00:00	2015-08-24 16:15:31;2015-08-24 16:12:15;2015-08-24 16:20:07	?
SAMN03074081	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/235/GCA_000834235.1_ASM83423v1	SRR2175566;SRR2175565;SRR2175564	PBM19	Unknown	?	Unknown	?	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	4	4861517	?	?	?	?	?	2015/02/09 00:00	2017-10-17 01:51:03;2015-08-24 17:11:43;2015-08-24 17:30:14	?
SAMN03177051	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/845/GCA_000834845.1_ASM83484v1	SRR2891671;SRR2153450;SRR2153449;SRR2891670	Angola	Unknown	?	Unknown	Pestoides	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	4	4674610	?	?	?	?	?	2015/02/09 00:00	2015-11-06 09:07:07;2015-08-15 10:24:19;2015-08-15 10:31:27;2015-11-04 19:49:09	?
SAMN03160774	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/293/415/GCA_001293415.1_ASM129341v1	SRR2148796;SRR2148797	CO92	1992	?	USA: Colorado	O	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	3	4722852	?	?	?	?	?	2015/02/09 00:00	2015-11-11 09:09:03;2015-08-11 21:44:48	?
SAMN03121016	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/315/GCA_000834315.1_ASM83431v1	SRR2148411;SRR2148410;SRR2148409	Pestoides F	Unknown	?	USSR	Antiqua	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	3	4728318	?	?	?	?	?	2015/02/09 00:00	2015-08-11 17:27:44;2015-08-11 17:17:32;2015-08-11 17:30:46	?
SAMN03160723	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/105/GCA_000970105.1_ASM97010v1	SRR3226062;SRR2145881;SRR2145880;SRR2145879	KIM5	2007	?	USA: Kentucky	M	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	4	4787503	?	?	?	?	?	2015/04/07 00:00	2017-10-09 01:44:15;2015-08-10 11:59:18;2015-08-10 11:59:32;2015-08-10 12:14:17	?
SAMN03943674	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/735/GCA_001188735.1_ASM118873v1	?	1045	?	?	Azerbaijan: Apsheron Pen.	Medievalis	Genome Assemblies for 11 Yersinia pestis Strains Isolated in the Caucasus Region.	Zhgenti;Johnson;Davenport;Chanturia;Daligault;Chain;Nikolich	5	4684080	?	?	?	?	?	2015/07/30 00:00	?	?
SAMN03943655	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/795/GCA_001188795.1_ASM118879v1	?	3067	?	?	Georgia: Ninotsminda	Pestoides	Genome Assemblies for 11 Yersinia pestis Strains Isolated in the Caucasus Region.	Zhgenti;Johnson;Davenport;Chanturia;Daligault;Chain;Nikolich	3	4736090	?	?	?	?	?	2015/07/30 00:00	?	?
SAMN03943654	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/775/GCA_001188775.1_ASM118877v1	?	3770	?	?	Georgia: Ninotsminda	Pestoides	Genome Assemblies for 11 Yersinia pestis Strains Isolated in the Caucasus Region.	Zhgenti;Johnson;Davenport;Chanturia;Daligault;Chain;Nikolich	3	4735667	?	?	?	?	?	2015/07/30 00:00	?	?
SAMN03943569	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/755/GCA_001188755.1_ASM118875v1	?	8787	?	?	Georgia: Ninotsminda	Pestoides	Genome Assemblies for 11 Yersinia pestis Strains Isolated in the Caucasus Region.	Zhgenti;Johnson;Davenport;Chanturia;Daligault;Chain;Nikolich	3	4675987	?	?	?	?	?	2015/07/30 00:00	?	?
SAMN03943539	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/325/GCA_001188325.1_YPY_1	?	14735	?	?	Georgia: Ninotsminda	Pestoides	Genome Assemblies for 11 Yersinia pestis Strains Isolated in the Caucasus Region.	Zhgenti;Johnson;Davenport;Chanturia;Daligault;Chain;Nikolich	29	4693748	?	?	?	?	?	2015/07/29 00:00	?	?
SAMN03943538	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/335/GCA_001188335.1_DYA_1	?	1670	?	?	Georgia: Ninotsminda	Pestoides	Genome Assemblies for 11 Yersinia pestis Strains Isolated in the Caucasus Region.	Zhgenti;Johnson;Davenport;Chanturia;Daligault;Chain;Nikolich	7	4718815	?	?	?	?	?	2015/07/29 00:00	?	?
SAMN03941711	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/815/GCA_001188815.1_ASM118881v1	?	2944	?	?	Russia: Kabardino-Balkaria	Medievalis	Genome Assemblies for 11 Yersinia pestis Strains Isolated in the Caucasus Region.	Zhgenti;Johnson;Davenport;Chanturia;Daligault;Chain;Nikolich	4	4672740	?	?	?	?	?	2015/07/30 00:00	?	?
SAMN03817042	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/261/975/GCA_001261975.1_YPW_8_IHQD	SRR2084698;SRR2084643	KIM 10v	Unknown	?	Iran	M	?	?	6	4745857	?	?	?	?	?	2015/08/06 00:00	2015-07-28 14:47:40	?
SAMN03816156	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/261/985/GCA_001261985.1_YPW_3_IHQD	SRR2084790;SRR2084789	EV76D	Unknown	?	Unknown	O	?	?	20	4728870	?	?	?	?	?	2015/08/06 00:00	2015-07-28 14:47:42	?
SAMN03783058	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/935/GCA_001188935.1_ASM118893v1	?	1413	?	?	Georgia: Ninotsminda	Pestoides	Genome Assemblies for 11 Yersinia pestis Strains Isolated in the Caucasus Region.	Zhgenti;Johnson;Davenport;Chanturia;Daligault;Chain;Nikolich	3	4736923	?	?	?	?	?	2015/07/30 00:00	?	?
SAMN03783057	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/715/GCA_001188715.1_ASM118871v1	?	1522	?	?	Armenia: Shirak Province	Pestoides	Genome Assemblies for 11 Yersinia pestis Strains Isolated in the Caucasus Region.	Zhgenti;Johnson;Davenport;Chanturia;Daligault;Chain;Nikolich	3	4738644	?	?	?	?	?	2015/07/30 00:00	?	?
SAMN03782999	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/695/GCA_001188695.1_ASM118869v1	?	1412	?	?	Georgia: Ninotsminda	Pestoides	Genome Assemblies for 11 Yersinia pestis Strains Isolated in the Caucasus Region.	Zhgenti;Johnson;Davenport;Chanturia;Daligault;Chain;Nikolich	3	4733482	?	?	?	?	?	2015/07/30 00:00	?	?
SAMN02604093	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/645/GCA_000006645.1_ASM664v1	?	KIM10+	?	?	?	?	?	?	2	4701745	?	?	?	?	?	2002/07/29 00:00	?	?
SAMN02604042	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/805/GCA_000018805.1_ASM1880v1	?	Angola	?	?	?	?	Genome sequence of the deep-rooted Yersinia pestis strain Angola reveals new insights into the evolution and pangenome of the plague bacterium.	Eppinger;Worsham;Nikolich;Riley;Sebastian;Mou;Achtman;Lindler;Ravel	3	4687014	?	?	?	?	?	2007/12/12 00:00	?	?
SAMN02603873	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/845/GCA_000022845.1_ASM2284v1	?	Z176003	?	?	?	?	Complete genome sequences of Yersinia pestis from natural foci in China.	Shen;Wang;Xia;Zhu;Zhang;Liang;Cai;Zhang;Wei;Chen;Song;Zhang;Yu;Hai	4	4725788	?	?	?	?	?	2010/04/08 00:00	?	?
SAMN02603872	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/825/GCA_000022825.1_ASM2282v1	?	D182038	?	?	?	?	Spatial variation of Yersinia pestis from Yunnan Province of China.	Zhang;Hai;Song;Xia;Liang;Cai;Liang;Shen;Zhang;Xu;Yu;Yu	4	4802263	?	?	?	?	?	2009/11/04 00:00	?	?
SAMN02603871	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/805/GCA_000022805.1_ASM2280v1	?	D106004	?	?	?	?	Spatial variation of Yersinia pestis from Yunnan Province of China.	Zhang;Hai;Song;Xia;Liang;Cai;Liang;Shen;Zhang;Xu;Yu;Yu	4	4812922	?	?	?	?	?	2009/11/04 00:00	?	?
SAMN02603531	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/222/975/GCA_000222975.1_ASM22297v1	?	A1122	?	?	?	?	?	?	3	4658411	?	?	?	?	?	2011/08/05 00:00	?	?
SAMN02603222	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/725/GCA_000186725.1_ASM18672v1	?	Harbin 35	?	Homo sapiens	China	Medievalis	?	?	4	4709501	?	?	?	?	?	2011/01/25 00:00	?	?
SAMN02602970	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/885/GCA_000007885.1_ASM788v1	?	91001	?	?	?	Microtus	?	?	5	4803217	?	?	?	?	?	2004/03/15 00:00	?	?
SAMN02598373	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/445/GCA_000016445.1_ASM1644v1	?	Pestoides F	?	?	?	?	?	?	3	4725862	?	?	?	?	?	2007/04/13 00:00	?	?
SAMN02598370	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/805/GCA_000013805.1_ASM1380v1	?	Nepal516	?	?	?	?	Complete genome sequence of Yersinia pestis strains Antiqua and Nepal516: evidence of gene reduction in an emerging pathogen.	Chain;Hu;Malfatti;Radnedge;Larimer;Vergez;Worsham;Chu;Andersen	3	4646286	?	?	?	?	?	2006/06/09 00:00	?	?
SAMN02598369	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/825/GCA_000013825.1_ASM1382v1	?	Antiqua	?	?	?	?	Complete genome sequence of Yersinia pestis strains Antiqua and Nepal516: evidence of gene reduction in an emerging pathogen.	Chain;Hu;Malfatti;Radnedge;Larimer;Vergez;Worsham;Chu;Andersen	4	4879836	?	?	?	?	?	2006/06/09 00:00	?	?
SAMN02207408	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/705/315/GCA_000705315.1_EDB10_058v1	?	EBD10-058	01-Jul-2010	Cynomys ludovicianus	Canada: Grasslands National Park, Saskatchewan	Orientalis	Sylvatic plague in a Canadian black-tailed prairie dog (Cynomys ludovicianus).	Antonation;Shury;Bollinger;Olson;Mabon;Van Domselaar;Corbett	581	4542680	?	?	?	?	?	2014/06/12 00:00	?	?
SAMN02404405	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/705/GCA_000182705.1_ASM18270v1	?	KIM D27	?	?	?	?	Genome sequencing and analysis of Yersina pestis KIM D27, an avirulent strain exempt from select agent regulation.	Losada;Varga;Hostetler;Radune;Kim;Durkin;Schneewind;Nierman	9	4681648	?	?	?	?	?	2009/12/08 00:00	?	?
SAMN03216612	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/885/GCA_000834885.1_ASM83488v1	?	Nicholisk 41	2008	?	China: Manchuria	?	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	4	4700481	?	?	?	?	?	2015/02/09 00:00	?	?
SAMN02141506	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/245/GCA_000269245.1_ASM26924v1	?	PY-113	2010	Homo sapiens	Peru:Ascope	?	?	?	600	4615891	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02141503	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/465/GCA_000269465.1_ASM26946v1	?	PY-101	2010	Homo sapiens	"Peru:Ascope, Santiago de Cao, Cartavio"	?	?	?	500	4732273	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02141500	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/165/GCA_000269165.1_ASM26916v1	?	PY-98	2010	Homo sapiens	Peru:Ascope	?	?	?	520	4780039	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02141467	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/268/705/GCA_000268705.1_ASM26870v1	?	PY-32	2010	Homo sapiens	"Peru:Ascope, Chicama, Chicama"	?	?	?	576	4900596	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02141463	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/268/505/GCA_000268505.1_ASM26850v1	?	PY-16	2009	Homo sapiens	"Peru:Ascope, Casa Grande, Toma Jauregui"	?	?	?	481	4687256	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02141462	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/268/645/GCA_000268645.1_ASM26864v1	?	PY-15	2009	Homo sapiens	"Peru:Ascope, Casa Grande, Toma Jauregui"	?	?	?	503	4753444	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02141460	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/268/465/GCA_000268465.1_ASM26846v1	?	PY-13	2008	Homo sapiens	Peru:Santa Cruz	?	?	?	563	4735638	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02141459	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/268/625/GCA_000268625.1_ASM26862v1	?	PY-12	2008	Homo sapiens	Peru:Jean	?	?	?	491	4827600	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02141458	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/268/605/GCA_000268605.1_ASM26860v1	?	PY-11	2007	Homo sapiens	Peru:Chota	?	?	?	616	4682466	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02141457	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/268/445/GCA_000268445.1_ASM26844v1	?	PY-10	2006	Homo sapiens	Peru:Jean	?	?	?	542	4740424	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02141456	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/268/425/GCA_000268425.1_ASM26842v1	?	PY-09	2006	Homo sapiens	Peru:Jean	?	?	?	541	4645028	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02141455	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/268/405/GCA_000268405.1_ASM26840v1	?	PY-08	2006	Homo sapiens	Peru:Jean	?	?	?	515	4763599	?	?	?	?	?	2012/06/15 00:00	?	?
SAMN02769799	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/675/GCA_001188675.1_ASM118867v1	SRR1297151;SRR1283865;SRR1283863	790	unknown	?	Kyrgyzstan	Antiqua	Genome Assemblies for 11 Yersinia pestis Strains Isolated in the Caucasus Region.	Zhgenti;Johnson;Davenport;Chanturia;Daligault;Chain;Nikolich	4	4781906	?	?	?	?	?	2015/07/30 00:00	2014-06-16 10:41:26;2014-05-15 00:00:00;2014-05-15 00:00:00	?
SAMN02598688	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/590/535/GCA_000590535.1_EV_NIIEG	?	EV NIIEG	1941	?	Russia: Research Institute of Epidemiology and Hygiene	?	?	?	298	4457935	4,223	?	896	?	4 (5S, 16S, 23S)	2014/03/12 00:00	?	?
SAMN02403946	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/311/885/GCA_000311885.1_ASM31188v1	?	INS	Jul-2010	Homo sapiens	Peru	?	Whole-Genome Sequencing and Comparative Analysis of Yersinia pestis, the Causative Agent of a Plague Outbreak in Northern Peru.	Cáceres;Montenegro;Padilla;Tarazona;Bailón;García;Céspedes;Valencia;Guio	18	4651700	?	?	?	?	?	2012/11/09 00:00	?	?
SAMN01831187	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/855/GCA_000255855.1_ASM25585v1	SRR639261	AS200902147	?	?	?	?	?	?	277	4592682	?	?	?	?	?	2012/03/22 00:00	2013-01-02 00:00:00	?
SAMN01831186	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/835/GCA_000255835.1_ASM25583v1	SRR639260	BA200902009	?	?	?	?	?	?	256	4563812	?	?	?	?	?	2012/03/22 00:00	2013-01-02 00:00:00	?
SAMN01831185	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/815/GCA_000255815.1_ASM25581v1	SRR639259	BA200901990	?	?	?	?	?	?	210	4527493	?	?	?	?	?	2012/03/22 00:00	2013-01-02 00:00:00	?
SAMN01831184	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/735/GCA_000255735.1_ASM25573v1	SRR639250	BA200901799	?	?	?	?	?	?	199	4581111	?	?	?	?	?	2012/03/22 00:00	2013-01-02 00:00:00	?
SAMN01831183	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/795/GCA_000255795.1_ASM25579v1	SRR639249	BA200901703	?	?	?	?	?	?	282	4560176	?	?	?	?	?	2012/03/22 00:00	2013-01-02 00:00:00	?
SAMN01831182	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/755/GCA_000255755.1_ASM25575v1	SRR639248	AS200901539	?	?	?	?	?	?	250	4572127	?	?	?	?	?	2012/03/22 00:00	2013-01-02 00:00:00	?
SAMN01831181	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/895/GCA_000255895.1_ASM25589v1	SRR639247	AS200901509	?	?	?	?	?	?	263	4605070	?	?	?	?	?	2012/03/22 00:00	2013-01-02 00:00:00	?
SAMN01831180	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/875/GCA_000255875.1_ASM25587v1	SRR631347	AS200901434	?	?	?	?	?	?	237	4572981	?	?	?	?	?	2012/03/22 00:00	2013-01-02 00:00:00	?
SAMN01831179	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/775/GCA_000255775.1_ASM25577v1	SRR631346	AS200901156	?	?	?	?	?	?	220	4578309	?	?	?	?	?	2012/03/22 00:00	2013-01-02 00:00:00	?
SAMN02404406	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/835/GCA_000168835.1_ASM16883v1	?	FV-1	2001	?	"USA: near Flagstaff, AZ"	?	A North American Yersinia pestis draft genome sequence: SNPs and phylogenetic analysis.	Touchman;Wagner;Hao;Mastrian;Shah;Vogler;Allender;Clark;Benitez;Youngkin;Girard;Auerbach;Beckstrom-Sternberg;Keim	400	4472646	?	?	?	?	?	2006/10/13 00:00	?	?
SAMN02403944	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/545/GCA_000182545.1_ASM18254v1	?	Pestoides A	?	?	?	?	?	?	37	4750606	?	?	?	?	?	2009/05/08 00:00	?	?
SAMN02403941	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/485/GCA_000182485.1_ASM18248v1	?	Nepal516	?	?	?	?	?	?	31	4629080	?	?	?	?	?	2009/05/08 00:00	?	?
SAMN02403108	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/485/GCA_000325485.1_ASM32548v1	?	YN663	?	?	?	?	Historical variations in mutation rate in an epidemic pathogen, Yersinia pestis.	Cui;Yu;Yan;Li;Li;Jombart;Weinert;Wang;Guo;Xu;Zhang;Zheng;Qin;Xiao;Wu;Wang;Zhou;Qi;Du;Wu;Yang;Cao;Wang;Wang;Yao;Rakin;Li;Falush;Balloux;Achtman;Song;Wang;Yang	1285	4203251	?	?	?	?	?	2012/12/07 00:00	?	?
SAMN02403107	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/465/GCA_000325465.1_ASM32546v1	?	YN472	?	?	?	?	Historical variations in mutation rate in an epidemic pathogen, Yersinia pestis.	Cui;Yu;Yan;Li;Li;Jombart;Weinert;Wang;Guo;Xu;Zhang;Zheng;Qin;Xiao;Wu;Wang;Zhou;Qi;Du;Wu;Yang;Cao;Wang;Wang;Yao;Rakin;Li;Falush;Balloux;Achtman;Song;Wang;Yang	1105	4525667	?	?	?	?	?	2012/12/07 00:00	?	?
SAMN02403106	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/445/GCA_000325445.1_ASM32544v1	?	YN2588	?	?	?	?	Historical variations in mutation rate in an epidemic pathogen, Yersinia pestis.	Cui;Yu;Yan;Li;Li;Jombart;Weinert;Wang;Guo;Xu;Zhang;Zheng;Qin;Xiao;Wu;Wang;Zhou;Qi;Du;Wu;Yang;Cao;Wang;Wang;Yao;Rakin;Li;Falush;Balloux;Achtman;Song;Wang;Yang	1301	4307940	?	?	?	?	?	2012/12/07 00:00	?	?
SAMN02403105	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/425/GCA_000325425.1_ASM32542v1	?	YN2551	?	?	?	?	Historical variations in mutation rate in an epidemic pathogen, Yersinia pestis.	Cui;Yu;Yan;Li;Li;Jombart;Weinert;Wang;Guo;Xu;Zhang;Zheng;Qin;Xiao;Wu;Wang;Zhou;Qi;Du;Wu;Yang;Cao;Wang;Wang;Yao;Rakin;Li;Falush;Balloux;Achtman;Song;Wang;Yang	880	4524315	?	?	?	?	?	2012/12/07 00:00	?	?
SAMN02403104	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/405/GCA_000325405.1_ASM32540v1	?	YN2179	?	?	?	?	Historical variations in mutation rate in an epidemic pathogen, Yersinia pestis.	Cui;Yu;Yan;Li;Li;Jombart;Weinert;Wang;Guo;Xu;Zhang;Zheng;Qin;Xiao;Wu;Wang;Zhou;Qi;Du;Wu;Yang;Cao;Wang;Wang;Yao;Rakin;Li;Falush;Balloux;Achtman;Song;Wang;Yang	1605	4307368	?	?	?	?	?	2012/12/07 00:00	?	?
SAMN02403103	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/385/GCA_000325385.1_ASM32538v1	?	YN1683	?	?	?	?	Historical variations in mutation rate in an epidemic pathogen, Yersinia pestis.	Cui;Yu;Yan;Li;Li;Jombart;Weinert;Wang;Guo;Xu;Zhang;Zheng;Qin;Xiao;Wu;Wang;Zhou;Qi;Du;Wu;Yang;Cao;Wang;Wang;Yao;Rakin;Li;Falush;Balloux;Achtman;Song;Wang;Yang	1897	4302115	?	?	?	?	?	2012/12/07 00:00	?	?
SAMN02403102	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/325/365/GCA_000325365.1_ASM32536v1	?	YN1065	?	?	?	?	Historical variations in mutation rate in an epidemic pathogen, Yersinia pestis.	Cui;Yu;Yan;Li;Li;Jombart;Weinert;Wang;Guo;Xu;Zhang;Zheng;Qin;Xiao;Wu;Wang;Zhou;Qi;Du;Wu;Yang;Cao;Wang;Wang;Yao;Rakin;Li;Falush;Balloux;Achtman;Song;Wang;Yang	1395	4472301	?	?	?	?	?	2012/12/07 00:00	?	?
